,dataset,method,C,gamma,w,sinkhorn,acc,std
0,MUTAG,HKS,10.0,1.0,0.0,False,0.7868421052631579,0.05921251169871906
1,MUTAG,HKS,10.0,1.0,0.29999999999999993,False,0.8988304093567253,0.04392198299561501
2,MUTAG,HKS,10.0,1.0,1.0,False,0.8035087719298246,0.08137695338853314
3,MUTAG,WKS,1000.0,0.09999999999999999,0.0,False,0.8084795321637426,0.05377653262499861
4,MUTAG,WKS,1000.0,0.09999999999999999,0.5999999999999999,False,0.9251461988304095,0.036030226434501454
5,MUTAG,WKS,1000.0,0.09999999999999999,1.0,False,0.8511695906432749,0.05760233918128656
6,PTC_MR,HKS,1000.0,1.0,0.0,False,0.5700000000000001,0.07052523198734027
7,PTC_MR,HKS,1000.0,1.0,0.35000000000000003,False,0.6192436974789917,0.0451025712356507
8,PTC_MR,HKS,1000.0,1.0,1.0,False,0.587142857142857,0.052069725054130725
9,PTC_MR,WKS,1.0,10.0,0.0,False,0.5957983193277311,0.04092531878181085
10,PTC_MR,WKS,1.0,10.0,0.5999999999999999,False,0.6657983193277311,0.04995450228524439
11,PTC_MR,WKS,1.0,10.0,1.0,False,0.6336134453781512,0.06021992038203344
12,ENZYMES,HKS,100.0,0.009999999999999998,0.0,False,0.6483333333333332,0.05188127472091125
13,ENZYMES,HKS,100.0,0.009999999999999998,0.5499999999999999,False,0.6933333333333334,0.05011098792790969
14,ENZYMES,HKS,100.0,0.009999999999999998,1.0,False,0.27999999999999997,0.049888765156985884
15,ENZYMES,WKS,100.0,0.009999999999999998,0.0,False,0.6483333333333332,0.05188127472091125
16,ENZYMES,WKS,100.0,0.009999999999999998,0.5499999999999999,False,0.6933333333333334,0.0448454134902457
17,ENZYMES,WKS,100.0,0.009999999999999998,1.0,False,0.23499999999999996,0.028333333333333325
18,PROTEINS,HKS,1.0,1.0,0.0,False,0.7518178893178893,0.022235112306972813
19,PROTEINS,HKS,1.0,1.0,0.25,False,0.775201093951094,0.030742734979604974
20,PROTEINS,HKS,1.0,1.0,1.0,False,0.7373712998712999,0.028381314836532546
21,PROTEINS,WKS,1.0,1.0,0.0,False,0.7518178893178893,0.022235112306972813
22,PROTEINS,WKS,1.0,1.0,0.09999999999999999,False,0.7671090733590733,0.031594465510510775
23,PROTEINS,WKS,1.0,1.0,1.0,False,0.7221042471042471,0.024450637668858397
24,DD,HKS,1000.0,1.0,0.0,True,0.707822376738306,0.02810165545956477
25,DD,HKS,1000.0,1.0,0.45000000000000007,True,0.7859592288242732,0.03070654551467749
26,DD,HKS,1000.0,1.0,1.0,True,0.7423514538558786,0.03957501722179992
27,DD,WKS,1000.0,1.0,0.0,True,0.707822376738306,0.02810165545956477
28,DD,WKS,1000.0,1.0,0.35000000000000003,True,0.788621997471555,0.030017814627402894
29,DD,WKS,1000.0,1.0,1.0,True,0.7477797092288243,0.035376767249647556
