,w,C,gamma,accuracy
fold_id0,0.7000000000000001,100.0,0.01,0.6333333333333333
fold_id1,0.6000000000000001,100.0,0.01,0.7
fold_id2,0.6000000000000001,100.0,0.01,0.7333333333333333
fold_id3,0.5,10.0,0.01,0.5833333333333334
fold_id4,0.4,100.0,0.01,0.6666666666666666
fold_id5,0.5,10.0,0.01,0.7333333333333333
fold_id6,0.30000000000000004,10.0,0.01,0.5833333333333334
fold_id7,0.6000000000000001,100.0,0.01,0.6666666666666666
fold_id8,0.6000000000000001,1000.0,0.0001,0.7
fold_id9,0.6000000000000001,100.0,0.01,0.6833333333333333
