,w,C,gamma,accuracy
fold_id0,5e-01,10.0,0.1,0.7053571428571429
fold_id1,0.5,10.0,0.1,0.7410714285714286
fold_id2,0.6000000000000001,1.0,1.0,0.7142857142857143
fold_id3,0.6000000000000001,1.0,1.0,0.7837837837837838
fold_id4,0.6000000000000001,10.0,0.01,0.7477477477477478
fold_id5,0.5,1.0,1.0,0.7837837837837838
fold_id6,0.5,1.0,1.0,0.7027027027027027
fold_id7,0.6000000000000001,1.0,1.0,0.7027027027027027
fold_id8,0.4,1.0,1.0,0.7567567567567568
fold_id9,0.6000000000000001,1.0,1.0,0.7927927927927928
