,w,C,gamma,accuracy
fold_id0,7.000000000000001e-01,1.0,1.0,0.7589285714285714
fold_id1,0.5,1000.0,0.001,0.7053571428571429
fold_id2,0.7000000000000001,1.0,1.0,0.75
fold_id3,0.4,1.0,1.0,0.8018018018018018
fold_id4,0.7000000000000001,10.0,1.0,0.7387387387387387
fold_id5,0.5,1.0,1.0,0.7117117117117117
fold_id6,0.5,1.0,1.0,0.7567567567567568
fold_id7,0.6000000000000001,0.1,1.0,0.6936936936936937
fold_id8,0.7000000000000001,10.0,1.0,0.7117117117117117
fold_id9,0.6000000000000001,1.0,1.0,0.7387387387387387
