,w,C,gamma,accuracy
fold_id0,0.55,100.0,10.0,0.6
fold_id1,0.30000000000000004,10.0,0.1,0.5428571428571428
fold_id2,0.30000000000000004,1000.0,0.01,0.5428571428571428
fold_id3,0.30000000000000004,10.0,1.0,0.4857142857142857
fold_id4,0.35000000000000003,100.0,0.1,0.38235294117647056
fold_id5,0.30000000000000004,10.0,1.0,0.7058823529411765
fold_id6,0.30000000000000004,1000.0,0.01,0.5588235294117647
fold_id7,0.45,100.0,10.0,0.47058823529411764
fold_id8,0.30000000000000004,1000.0,0.001,0.47058823529411764
fold_id9,0.35000000000000003,1000.0,0.01,0.6176470588235294
