,w,C,gamma,accuracy
fold_id0,0.30000000000000004,10.0,1.0,0.4857142857142857
fold_id1,0.4,100.0,1.0,0.5714285714285714
fold_id2,0.35000000000000003,100.0,1.0,0.6285714285714286
fold_id3,0.35000000000000003,100.0,1.0,0.6
fold_id4,0.35000000000000003,10.0,10.0,0.6470588235294118
fold_id5,0.4,1.0,1.0,0.5
fold_id6,0.35000000000000003,10.0,1.0,0.6764705882352942
fold_id7,0.35000000000000003,100.0,1.0,0.5882352941176471
fold_id8,0.30000000000000004,100.0,1.0,0.6176470588235294
fold_id9,0.30000000000000004,10.0,10.0,0.5882352941176471
