,n,SP,HKS,WKS,HKS with sinkhorn,WKS with sinkhorn
0,10,0.0019,0.2682,0.3852,0.5293,0.4252
1,17,0.0026,0.3029,0.6386,0.3085,0.6306
2,31,0.0083,0.4771,1.1232,0.4746,1.1101
3,56,0.027,0.7736,1.9753,0.8045,2.0375
4,100,0.0957,1.3155,3.6439,1.3848,3.5951
5,177,0.2802,2.4042,6.314,2.6811,6.3556
6,316,0.8106,4.7509,12.1846,4.9736,12.3403
7,562,2.9292,9.4761,24.4464,9.8195,24.22
8,1000,10.5039,17.9257,57.2195,18.145,45.9787
9,1778,47.2979,38.032,92.3077,36.8776,90.6731
10,3162,197.3005,92.0052,203.3229,88.8022,202.0712
11,5623,872.663,257.3593,508.8777,261.0599,501.3997
